Time[ms];pwmL[us];curL[mA];volL[mV];pwmR[us];curR[mA];volR[mV];strini[uint10]
18458;0;0;0;0;0;0;0
18511;0;0;0;0;0;0;0
18566;0;0;0;0;0;0;0
18619;0;0;0;0;0;0;0
18673;0;0;0;0;0;0;0
18726;0;0;0;0;0;0;0
18781;0;0;0;0;0;0;0
18834;0;0;0;0;0;0;0
18888;0;0;0;0;0;0;0
18941;0;0;0;0;0;0;0
18995;0;0;0;0;0;0;0
19049;0;0;0;0;0;0;0
19102;0;0;0;0;0;0;0
19156;0;0;0;0;0;0;0
19210;0;0;0;0;0;0;0
19264;0;0;0;0;0;0;0
19317;0;0;0;0;0;0;0
19372;0;0;0;0;0;0;0
19428;0;0;0;0;0;0;0
19481;0;0;0;0;0;0;0
19535;0;0;0;0;0;0;0
19589;0;0;0;0;0;0;0
19643;0;0;0;0;0;0;0
19696;0;0;0;0;0;0;0
19750;0;0;0;0;0;0;0
19804;0;0;0;0;0;0;0
19858;0;0;0;0;0;0;0
19911;0;0;0;0;0;0;0
19965;0;0;0;0;0;0;0
20019;0;0;0;0;0;0;0
20073;0;0;0;0;0;0;0
20126;0;0;0;0;0;0;0
20180;0;0;0;0;0;0;0
20234;0;0;0;0;0;0;0
20288;0;0;0;0;0;0;0
20341;0;0;0;0;0;0;0
20396;0;0;0;0;0;0;0
20449;0;0;0;0;0;0;0
20503;0;0;0;0;0;0;0
20556;0;0;0;0;0;0;0
20611;0;0;0;0;0;0;0
20664;0;0;0;0;0;0;0
20717;0;0;0;0;0;0;0
20774;0;0;0;0;0;0;0
20828;0;0;0;0;0;0;0
20882;0;0;0;0;0;0;0
20935;0;0;0;0;0;0;0
20988;0;0;0;0;0;0;0
21043;0;0;0;0;0;0;0
21096;0;0;0;0;0;0;0
21150;0;0;0;0;0;0;0
21203;0;0;0;0;0;0;0
21265;0;0;0;0;0;0;0
21322;0;0;0;0;0;0;0
21377;0;0;0;0;0;0;0
21430;0;0;0;0;0;0;0
21484;0;0;0;0;0;0;0
21537;0;0;0;0;0;0;0
21592;0;0;0;0;0;0;0
21645;0;0;0;0;0;0;0
21699;0;0;0;0;0;0;0
21752;0;0;0;0;0;0;0
21806;0;0;0;0;0;0;0
21860;0;0;0;0;0;0;0
21913;0;0;0;0;0;0;0
21967;0;0;0;0;0;0;0
22021;0;0;0;0;0;0;0
22077;0;0;0;0;0;0;0
22131;0;0;0;0;0;0;0
